Dataset,Episodes / queries,A0 acc.,PVSE-C-Switch,PVSE-C-HD A0-only,PVSE-C-HD FULL
CUB,"300 / 22,500",58.54%,"+1.156 [+0.862, +1.453]","+1.160 [+0.858, +1.449]","+1.156 [+0.853, +1.458]"
Caltech101,"300 / 22,500",88.24%,"+0.400 [+0.276, +0.529]","+0.400 [+0.280, +0.529]","+0.400 [+0.276, +0.529]"
DTD,"300 / 22,500",64.81%,"+0.716 [+0.453, +0.973]","+0.711 [+0.449, +0.982]","+0.711 [+0.444, +0.978]"
FGVC-Aircraft,"300 / 22,500",40.80%,"+3.160 [+2.724, +3.600]","+3.160 [+2.716, +3.609]","+3.160 [+2.711, +3.604]"
OfficeHome,"1700 / 127,500",67.30%,"+0.986 [+0.889, +1.084]","+0.984 [+0.885, +1.085]","+0.985 [+0.885, +1.085]"
PACS,"1700 / 127,500",57.56%,"+0.653 [+0.514, +0.793]","+0.651 [+0.515, +0.787]","+0.654 [+0.518, +0.792]"
