Protocol,Noise,Noisy A0,PVSE-R-Soft acc.,PVSE-R-Soft gain (episode CI),PVSE-R-HD acc.,PVSE-R-HD gain (episode CI),Oracle acc.,Oracle gain (episode CI)
symmetric replacement,20%,73.315%,74.287%,"+0.972 [+0.712, +1.227]",73.963%,"+0.648 [+0.491, +0.804]",76.404%,"+3.089 [+2.848, +3.336]"
symmetric replacement,40%,62.151%,66.164%,"+4.013 [+3.763, +4.268]",64.180%,"+2.029 [+1.775, +2.284]",73.427%,"+11.276 [+10.848, +11.695]"
symmetric replacement,60%,45.960%,52.600%,"+6.640 [+6.029, +7.244]",47.407%,"+1.447 [+1.172, +1.721]",69.201%,"+23.241 [+22.673, +23.801]"
paired replacement,20%,72.871%,74.579%,"+1.708 [+1.493, +1.933]",74.099%,"+1.228 [+1.031, +1.429]",76.333%,"+3.463 [+3.213, +3.712]"
paired replacement,40%,56.405%,61.764%,"+5.359 [+4.939, +5.768]",59.715%,"+3.309 [+2.975, +3.643]",73.797%,"+17.392 [+16.885, +17.904]"
paired replacement,60%,25.769%,52.237%,"+26.468 [+25.296, +27.611]",32.391%,"+6.621 [+6.161, +7.080]",69.493%,"+43.724 [+42.975, +44.468]"
